"","pap_research","pub_research","effect_rate","share","use_opp","benefits","reusecost","cost","time","Publ","impact"
"6235",1.84778746492797,0.541187782134338,1.7068155372976,0,0,0,0,0,0.541,1.848,1.848
"6236",7.64622967420459,0.130783411250856,8.29743981468284,0,3,0.076,0.001,0,0.101,9.901,9.901
"6237",12.4285359930557,0.0804599995171388,13.0351630125899,1,7,0.099,0.002,0.041,0.066,15.152,15.152
"6238",0.825269692657778,1.21172509895463,0.812958361678676,1,0,0,0,0.041,1.343,0.745,0.745
"6239",0.419491183641883,2.38384032607869,0.449402857368752,1,0,0,0,0.041,2.689,0.372,0.372
"6240",1.97613053242981,0.506039446073647,1.89513735990059,1,0,0,0,0.041,0.565,1.77,1.77
"6241",0.730581622629101,1.36877245337949,0.773474551804965,0,0,0,0,0,1.369,0.73,0.73
"6242",0.183190155146878,5.45880863083621,0.190764332775695,1,0,0,0,0.041,6.097,0.164,0.164
"6243",1.21598926507386,0.822375681037986,1.13809532208596,0,0,0,0,0,0.822,1.217,1.217
"6244",1.32844415173011,0.752760286307592,1.35075523413338,1,1,0.136,0.002,0.041,0.529,1.89,1.89
"6245",2.70113472102791,0.37021478129734,2.83268357418594,1,1,0.08,0.001,0.041,0.327,3.058,3.058
"6246",0.565311656806202,1.76893575067888,0.5857187091015,1,0,0,0,0.041,1.984,0.504,0.504
"6247",12.9262690714047,0.077361843117763,13.4056545336808,1,1,0.015,0,0.041,0.084,11.905,11.905
"6248",6.47180718393981,0.154516346296837,6.80026674161329,1,3,0.084,0.001,0.041,0.132,7.576,7.576
"6249",0.644083894634023,1.55259277297752,0.679638019923172,1,0,0,0,0.041,1.746,0.573,0.573
"6250",0.227741523791061,4.3909427817715,0.245488552750503,1,0,0,0,0.041,4.988,0.2,0.2
"6251",0.245211594454574,4.07811058944544,0.22476621514673,1,0,0,0,0.041,4.508,0.222,0.222
"6252",2.21779546453458,0.450898207698272,2.24944863669359,1,1,0.08,0.001,0.041,0.397,2.519,2.519
"6253",0.230884233151424,4.33117491978829,0.245391073430368,1,0,0,0,0.041,4.885,0.205,0.205
"6254",2.51463173450944,0.397672544363671,2.63113165494042,1,0,0,0,0.041,0.449,2.227,2.227
"6255",1.99610639908531,0.500975298941096,2.10738784178245,0,0,0,0,0,0.501,1.996,1.996
"6256",1.15338010137837,0.867016865303057,1.26425954169258,0,1,0.171,0.002,0,0.394,2.538,2.538
"6257",0.129728097383476,7.70843032596096,0.129353404578855,0,0,0,0,0,7.708,0.13,0.13
"6258",3.86062251759641,0.259025583423937,4.13567118387862,1,0,0,0,0.041,0.294,3.401,3.401
"6259",5.94394257279726,0.168238502938529,5.71059741248934,0,2,0.067,0.001,0,0.135,7.407,7.407
"6260",1.13837280014849,0.878446849634463,1.23580188276809,1,1,0.166,0.002,0.041,0.553,1.808,1.808
"6261",7.20327264850654,0.1388257877768,7.83484657312296,1,2,0.054,0.001,0.041,0.134,7.463,7.463
"6262",1.21736231884458,0.821448129714675,1.14649115177088,1,0,0,0,0.041,0.922,1.085,1.085
"6263",0.670427095781566,1.49158649209162,0.693375647632136,1,0,0,0,0.041,1.682,0.595,0.595
"6264",0.900489790114246,1.11050676085192,0.861899363323672,1,0,0,0,0.041,1.25,0.8,0.8
"6265",4.40501135392968,0.227014170827938,4.2105159918625,1,0,0,0,0.041,0.252,3.968,3.968
"6266",3.27258780348871,0.305568577544034,3.23074603990201,0,1,0.062,0.001,0,0.253,3.953,3.953
"6267",0.371851856186698,2.68924299653872,0.353443772357454,1,0,0,0,0.041,3.001,0.333,0.333
"6268",2.93211622130921,0.341050601177566,3.09610796199884,1,2,0.157,0.002,0.041,0.227,4.405,4.405
"6269",0.185672146240517,5.3858374573029,0.169024465092857,0,0,0,0,0,5.386,0.186,0.186
"6270",4.31231160316333,0.231894188552247,4.74341785489183,1,2,0.102,0.001,0.041,0.193,5.181,5.181
"6271",8.57431925006497,0.116627334583142,7.78994464763726,1,2,0.05,0.001,0.041,0.114,8.772,8.772
"6272",2.09291938806685,0.477801489011797,2.11062266721829,1,0,0,0,0.041,0.542,1.845,1.845
"6273",0.93097032639383,1.07414809220994,0.926639781661356,0,0,0,0,0,1.074,0.931,0.931
"6274",3.70578655869911,0.269848245213303,3.91282710925905,0,2,0.093,0.001,0,0.184,5.435,5.435
"6275",0.0526683390144426,18.9867388779012,0.048993544907255,0,0,0,0,0,18.987,0.053,0.053
"6276",4.0998538507034,0.243911133522097,3.73381533395694,0,2,0.095,0.001,0,0.175,5.714,5.714
"6277",1.1703200522898,0.854467116105067,1.08563263152351,1,1,0.18,0.002,0.041,0.507,1.972,1.972
"6278",5.00030729504082,0.199987708953762,5.06492028702843,0,2,0.085,0.001,0,0.15,6.667,6.667
"6279",12.0717389734856,0.0828381066055525,12.7310924715315,0,5,0.092,0.001,0,0.061,16.393,16.393
"6280",1.02656297926115,0.974124354961381,0.967352441556226,1,0,0,0,0.041,1.101,0.908,0.908
"6281",5.07407848069089,0.197080120815128,5.48095660789699,0,1,0.035,0.001,0,0.175,5.714,5.714
"6282",0.83553330025876,1.19684038887535,0.776988369824832,1,0,0,0,0.041,1.354,0.739,0.739
"6283",2.75254152918503,0.363300603968027,2.99668352789869,1,1,0.081,0.001,0.041,0.325,3.077,3.077
"6284",3.18978460168792,0.31350079233276,2.99592488700669,1,0,0,0,0.041,0.352,2.841,2.841
"6285",0.634579485416529,1.57584671893957,0.680206974230101,0,0,0,0,0,1.576,0.635,0.635
"6286",0.130589582532877,7.65757865676799,0.123174536967224,0,0,0,0,0,7.658,0.131,0.131
"6287",4.01574874158242,0.249019563810147,3.98058701543612,0,3,0.141,0.002,0,0.135,7.407,7.407
